Accession	Description	Gene Symbol	Corrected Abundance ratio (1.53)	Log2 Corrected Abundance Ratio	Abundance Ratio Adj. P-Value: (127. T3 Tc WT) / (126. T0 WT)	LOG10 Adj.P-val
P0ACC1	Release factor glutamine methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=prmC PE=1 SV=1	prmC	0.573202614	-0.802882905	1	0
P0AEJ6	Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) OX=83333 GN=eutB PE=1 SV=1	eutB	0.573202614	-0.802882905	1	0
P37128	GDP-mannose pyrophosphatase NudK OS=Escherichia coli (strain K12) OX=83333 GN=nudK PE=1 SV=2	nudK	0.573202614	-0.802882905	1	0
P0A8Y1	Pyrimidine 5'-nucleotidase YjjG OS=Escherichia coli (strain K12) OX=83333 GN=yjjG PE=1 SV=1	yjjG	0.573856209	-0.801238808		#VALEUR!
P18775	Dimethyl sulfoxide reductase DmsA OS=Escherichia coli (strain K12) OX=83333 GN=dmsA PE=1 SV=2	dmsA	0.574509804	-0.799596582		#VALEUR!
P0A6G7	ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) OX=83333 GN=clpP PE=1 SV=1	clpP	0.575163399	-0.797956224	1	0
P75821	Uncharacterized protein YbjS OS=Escherichia coli (strain K12) OX=83333 GN=ybjS PE=3 SV=2	ybjS	0.575163399	-0.797956224		#VALEUR!
P09151	2-isopropylmalate synthase OS=Escherichia coli (strain K12) OX=83333 GN=leuA PE=1 SV=5	leuA	0.575816993	-0.796317729	1	0
P11447	Argininosuccinate lyase OS=Escherichia coli (strain K12) OX=83333 GN=argH PE=1 SV=3	argH	0.575816993	-0.796317729		#VALEUR!
P0A953	3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) OX=83333 GN=fabB PE=1 SV=1	fabB	0.576470588	-0.794681092	0.715325441	0.145496329
P0A8M3	Threonine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=thrS PE=1 SV=1	thrS	0.577124183	-0.79304631	1	0
P0AET2	Acid stress chaperone HdeB OS=Escherichia coli (strain K12) OX=83333 GN=hdeB PE=1 SV=1	hdeB	0.577124183	-0.79304631	1	0
P0A6I6	Phosphopantetheine adenylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=coaD PE=1 SV=1	coaD	0.577124183	-0.79304631	0.831883859	0.079937302
P03023	Lactose operon repressor OS=Escherichia coli (strain K12) OX=83333 GN=lacI PE=1 SV=3	lacI	0.577124183	-0.79304631	1	0
P0A7B8	ATP-dependent protease subunit HslV OS=Escherichia coli (strain K12) OX=83333 GN=hslV PE=1 SV=2	hslV	0.577777778	-0.791413378	1	0
P39406	Ribosomal RNA small subunit methyltransferase C OS=Escherichia coli (strain K12) OX=83333 GN=rsmC PE=1 SV=3	rsmC	0.578431373	-0.789782293		#VALEUR!
P0AB24	Iron uptake system component EfeO OS=Escherichia coli (strain K12) OX=83333 GN=efeO PE=1 SV=1	efeO	0.579084967	-0.788153049	1	0
P52006	Nucleoside triphosphatase NudI OS=Escherichia coli (strain K12) OX=83333 GN=nudI PE=1 SV=2	nudI	0.579084967	-0.788153049	1	0
P76034	Uncharacterized HTH-type transcriptional regulator YciT OS=Escherichia coli (strain K12) OX=83333 GN=yciT PE=4 SV=1	yciT	0.580392157	-0.784900071	1	0
P0ABK2	Cytochrome bd-I ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) OX=83333 GN=cydB PE=1 SV=1	cydB	0.580392157	-0.784900071	1	0
P24177	Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) OX=83333 GN=acrD PE=3 SV=3	acrD	0.580392157	-0.784900071	1	0
P0ABS1	RNA polymerase-binding transcription factor DksA OS=Escherichia coli (strain K12) OX=83333 GN=dksA PE=1 SV=1	"CSK29544_RS00610; dksA; AB182_RS21010"	0.581045752	-0.783276329	1	0
P31992	Tautomerase PptA OS=Escherichia coli (strain K12) OX=83333 GN=pptA PE=1 SV=3	pptA	0.581045752	-0.783276329	1	0
P33607	NADH-quinone oxidoreductase subunit L OS=Escherichia coli (strain K12) OX=83333 GN=nuoL PE=1 SV=2	nuoL	0.581045752	-0.783276329	1	0
P09155	Ribonuclease D OS=Escherichia coli (strain K12) OX=83333 GN=rnd PE=1 SV=1	rnd	0.581699346	-0.781654412	1	0
P23522	5-keto-4-deoxy-D-glucarate aldolase OS=Escherichia coli (strain K12) OX=83333 GN=garL PE=1 SV=2	garL	0.581699346	-0.781654412	1	0
P14081	Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) OX=83333 GN=selB PE=1 SV=3	selB	0.581699346	-0.781654412	1	0
P77721	Uncharacterized HTH-type transcriptional regulator YdjF OS=Escherichia coli (strain K12) OX=83333 GN=ydjF PE=1 SV=1	ydjF	0.582352941	-0.780034316	1	0
P0AAR8	Uncharacterized protein YbaV OS=Escherichia coli (strain K12) OX=83333 GN=ybaV PE=3 SV=1	ybaV	0.583006536	-0.778416038	1	0
P0AFF4	Nucleoside permease NupG OS=Escherichia coli (strain K12) OX=83333 GN=nupG PE=1 SV=1	nupG	0.583006536	-0.778416038	1	0
P29018	ATP-binding/permease protein CydD OS=Escherichia coli (strain K12) OX=83333 GN=cydD PE=1 SV=3	cydD	0.583660131	-0.776799572	1	0
P0AG59	30S ribosomal protein S14 OS=Escherichia coli (strain K12) OX=83333 GN=rpsN PE=1 SV=2	rpsN	0.584313725	-0.775184916	1	0
P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=alsB PE=1 SV=1	alsB	0.584313725	-0.775184916	1	0
P36659	Curved DNA-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=cbpA PE=1 SV=2	cbpA	0.584313725	-0.775184916	1	0
P0A9A6	Cell division protein FtsZ OS=Escherichia coli (strain K12) OX=83333 GN=ftsZ PE=1 SV=1	ftsZ	0.58496732	-0.773572065	0.240848285	0.618256441
P39334	HTH-type transcriptional repressor BdcR OS=Escherichia coli (strain K12) OX=83333 GN=bdcR PE=1 SV=2	"bdcR; yjgJ"	0.58496732	-0.773572065	1	0
P0AAN3	Hydrogenase maturation factor HypB OS=Escherichia coli (strain K12) OX=83333 GN=hypB PE=1 SV=1	hypB	0.585620915	-0.771961016	1	0
P0AED5	Response regulator UvrY OS=Escherichia coli (strain K12) OX=83333 GN=uvrY PE=1 SV=1	uvrY	0.58627451	-0.770351763	1	0
P0CB39	Phosphoethanolamine transferase EptC OS=Escherichia coli (strain K12) OX=83333 GN=eptC PE=1 SV=1	"eptC; yijP"	0.58627451	-0.770351763	1	0
P0A8R4	Protein SlyX OS=Escherichia coli (strain K12) OX=83333 GN=slyX PE=3 SV=1	slyX	0.58627451	-0.770351763		#VALEUR!
P25552	Guanosine-5'-triphosphate.3'-diphosphate pyrophosphatase OS=Escherichia coli (strain K12) OX=83333 GN=gppA PE=1 SV=3	gpp	0.586928105	-0.768744303		#VALEUR!
P14407	Fumarate hydratase class I. anaerobic OS=Escherichia coli (strain K12) OX=83333 GN=fumB PE=1 SV=2	fumB	0.587581699	-0.767138632	1	0
P30958	Transcription-repair-coupling factor OS=Escherichia coli (strain K12) OX=83333 GN=mfd PE=1 SV=2	mfd	0.587581699	-0.767138632	1	0
P31069	Voltage-gated potassium channel Kch OS=Escherichia coli (strain K12) OX=83333 GN=kch PE=1 SV=1	kch	0.587581699	-0.767138632	1	0
P08190	Protein FimG OS=Escherichia coli (strain K12) OX=83333 GN=fimG PE=1 SV=2	fimG	0.587581699	-0.767138632		#VALEUR!
P0AEM9	L-cystine-binding protein FliY OS=Escherichia coli (strain K12) OX=83333 GN=fliY PE=1 SV=1	fliY	0.588235294	-0.765534746	1	0
P45800	Putative membrane protein IgaA homolog OS=Escherichia coli (strain K12) OX=83333 GN=yrfF PE=1 SV=1	yrfF	0.588235294	-0.765534746	1	0
P75958	Lipoprotein-releasing system transmembrane protein LolE OS=Escherichia coli (strain K12) OX=83333 GN=lolE PE=1 SV=3	lolE	0.588235294	-0.765534746	1	0
P60624	50S ribosomal protein L24 OS=Escherichia coli (strain K12) OX=83333 GN=rplX PE=1 SV=2	"CSK29544_RS06470; rplX"	0.588888889	-0.763932642	1	0
P0AEU0	Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=hisJ PE=1 SV=1	hisJ	0.588888889	-0.763932642	1	0
P37051	Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) OX=83333 GN=purU PE=1 SV=1	purU	0.590196078	-0.76073376	1	0
P33650	Fe(2+) transporter FeoB OS=Escherichia coli (strain K12) OX=83333 GN=feoB PE=1 SV=1	feoB	0.590196078	-0.76073376	1	0
P00582	DNA polymerase I OS=Escherichia coli (strain K12) OX=83333 GN=polA PE=1 SV=1	polA	0.590849673	-0.759136975	1	0
P63389	Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) OX=83333 GN=yheS PE=1 SV=1	yheS	0.590849673	-0.759136975	1	0
P26602	Chorismate pyruvate-lyase OS=Escherichia coli (strain K12) OX=83333 GN=ubiC PE=1 SV=2	ubiC	0.590849673	-0.759136975	1	0
P0A6A6	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) OX=83333 GN=leuC PE=1 SV=2	leuC	0.590849673	-0.759136975	1	0
P0AC41	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhA PE=1 SV=1	sdhA	0.591503268	-0.757541956	1	0
P0AG48	50S ribosomal protein L21 OS=Escherichia coli (strain K12) OX=83333 GN=rplU PE=1 SV=1	"LG71_RS25305; rplU"	0.591503268	-0.757541956	1	0
P29745	Peptidase T OS=Escherichia coli (strain K12) OX=83333 GN=pepT PE=1 SV=2	pepT	0.591503268	-0.757541956	1	0
P0A6E4	Argininosuccinate synthase OS=Escherichia coli (strain K12) OX=83333 GN=argG PE=1 SV=2	argG	0.591503268	-0.757541956	1	0
P12998	8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) OX=83333 GN=bioF PE=1 SV=1	bioF	0.591503268	-0.757541956	1	0
P0AEL6	Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=fepB PE=1 SV=1	fepB	0.591503268	-0.757541956	1	0
P04391	Ornithine carbamoyltransferase subunit I OS=Escherichia coli (strain K12) OX=83333 GN=argI PE=1 SV=3	argI	0.591503268	-0.757541956	1	0
P06710	DNA polymerase III subunit tau OS=Escherichia coli (strain K12) OX=83333 GN=dnaX PE=1 SV=1	dnaX	0.592810458	-0.754357197	1	0
P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) OX=83333 GN=rpsT PE=1 SV=2	rpsT	0.592810458	-0.754357197	1	0
P27126	Lipopolysaccharide core biosynthesis protein RfaS OS=Escherichia coli (strain K12) OX=83333 GN=rfaS PE=4 SV=1	"rfaS; waaS"	0.592810458	-0.754357197	1	0
P02413	50S ribosomal protein L15 OS=Escherichia coli (strain K12) OX=83333 GN=rplO PE=1 SV=1	rplO	0.593464052	-0.75276745	1	0
P77318	Uncharacterized sulfatase YdeN OS=Escherichia coli (strain K12) OX=83333 GN=ydeN PE=3 SV=2	ydeN	0.593464052	-0.75276745	1	0
P76273	Ribosomal RNA small subunit methyltransferase F OS=Escherichia coli (strain K12) OX=83333 GN=rsmF PE=1 SV=2	rsmF	0.593464052	-0.75276745	1	0
P0AA57	Protein YobA OS=Escherichia coli (strain K12) OX=83333 GN=yobA PE=1 SV=1	yobA	0.593464052	-0.75276745	1	0
P17444	Oxygen-dependent choline dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=betA PE=1 SV=1	betA	0.593464052	-0.75276745		#VALEUR!
P0AEX9	Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=malE PE=1 SV=1	malE	0.594117647	-0.751179453	1	0
P30847	Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) OX=83333 GN=baeS PE=1 SV=2	baeS	0.594117647	-0.751179453		#VALEUR!
P78067	Thiosulfate sulfurtransferase YnjE OS=Escherichia coli (strain K12) OX=83333 GN=ynjE PE=1 SV=2	ynjE	0.594117647	-0.751179453	1	0
P03813	Putative racemase YgeA OS=Escherichia coli (strain K12) OX=83333 GN=ygeA PE=1 SV=1	ygeA	0.595424837	-0.748008694		#VALEUR!
P0ACK8	L-fucose operon activator OS=Escherichia coli (strain K12) OX=83333 GN=fucR PE=4 SV=1	fucR	0.595424837	-0.748008694		#VALEUR!
P0A817	S-adenosylmethionine synthase OS=Escherichia coli (strain K12) OX=83333 GN=metK PE=1 SV=2	metK	0.596078431	-0.746425923	1	0
P39384	Putative dehydratase subunit YjiM OS=Escherichia coli (strain K12) OX=83333 GN=yjiM PE=3 SV=2	yjiM	0.596078431	-0.746425923	1	0
P36655	Thiol:disulfide interchange protein DsbD OS=Escherichia coli (strain K12) OX=83333 GN=dsbD PE=1 SV=4	dsbD	0.596078431	-0.746425923	1	0
P45955	Cell division coordinator CpoB OS=Escherichia coli (strain K12) OX=83333 GN=cpoB PE=1 SV=2	ybgF	0.596732026	-0.744844888	1	0
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) OX=83333 GN=acrB PE=1 SV=1	acrB	0.597385621	-0.743265583	1	0
P39838	Phosphotransferase RcsD OS=Escherichia coli (strain K12) OX=83333 GN=rcsD PE=1 SV=3	rcsD	0.597385621	-0.743265583	1	0
P00452	Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=nrdA PE=1 SV=2	nrdA	0.598039216	-0.741688004	1	0
P76049	Uncharacterized protein YcjY OS=Escherichia coli (strain K12) OX=83333 GN=ycjY PE=1 SV=2	ycjY	0.598039216	-0.741688004	1	0
P21338	Ribonuclease I OS=Escherichia coli (strain K12) OX=83333 GN=rna PE=1 SV=1	rna	0.59869281	-0.740112149	1	0
P13001	Pimeloyl-[acyl-carrier protein] methyl ester esterase OS=Escherichia coli (strain K12) OX=83333 GN=bioH PE=1 SV=1	bioH	0.59869281	-0.740112149	1	0
P24205	Lipid A biosynthesis myristoyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=lpxM PE=1 SV=1	"lpxM; waaN"	0.59869281	-0.740112149	1	0
P60785	Elongation factor 4 OS=Escherichia coli (strain K12) OX=83333 GN=lepA PE=1 SV=1	lepA	0.600653595	-0.735394886	1	0
P0A6A0	Probable protein kinase UbiB OS=Escherichia coli (strain K12) OX=83333 GN=ubiB PE=1 SV=1	ubiB	0.600653595	-0.735394886		#VALEUR!
P0A8R7	UPF0283 membrane protein YcjF OS=Escherichia coli (strain K12) OX=83333 GN=ycjF PE=1 SV=1	ycjF	0.600653595	-0.735394886	1	0
P33231	L-lactate permease OS=Escherichia coli (strain K12) OX=83333 GN=lldP PE=1 SV=1	lldP	0.600653595	-0.735394886	1	0
P31068	Flagellar assembly protein FliH OS=Escherichia coli (strain K12) OX=83333 GN=fliH PE=3 SV=3	fliH	0.602614379	-0.730692997	1	0
P45524	Putative esterase YheT OS=Escherichia coli (strain K12) OX=83333 GN=yheT PE=3 SV=1	yheT	0.602614379	-0.730692997		#VALEUR!
P0A6Y8	Chaperone protein DnaK OS=Escherichia coli (strain K12) OX=83333 GN=dnaK PE=1 SV=2	dnaK	0.603267974	-0.7291291	1	0
P28635	D-methionine-binding lipoprotein MetQ OS=Escherichia coli (strain K12) OX=83333 GN=metQ PE=1 SV=2	metQ	0.603267974	-0.7291291	1	0
P24173	Lipopolysaccharide heptosyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=rfaC PE=1 SV=1	"rfaC; waaC"	0.603921569	-0.727566896	1	0
P0A9G2	Transcriptional activator protein NhaR OS=Escherichia coli (strain K12) OX=83333 GN=nhaR PE=1 SV=1	nhaR	0.603921569	-0.727566896	1	0
P37692	ADP-heptose--LPS heptosyltransferase 2 OS=Escherichia coli (strain K12) OX=83333 GN=rfaF PE=1 SV=1	"rfaF; waaF"	0.604575163	-0.726006382	1	0
P76245	Diguanylate cyclase DgcP OS=Escherichia coli (strain K12) OX=83333 GN=dgcP PE=1 SV=2	yeaP	0.604575163	-0.726006382	1	0
P35340	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=ahpF PE=1 SV=2	ahpF	0.605882353	-0.722890409	1	0
P77615	Uncharacterized HTH-type transcriptional regulator YcjW OS=Escherichia coli (strain K12) OX=83333 GN=ycjW PE=4 SV=1	ycjW	0.605882353	-0.722890409		#VALEUR!
P39325	ABC transporter periplasmic-binding protein YtfQ OS=Escherichia coli (strain K12) OX=83333 GN=ytfQ PE=1 SV=1	ytfQ	0.606535948	-0.721334942	1	0
P0ABN5	Anaerobic C4-dicarboxylate transporter DcuA OS=Escherichia coli (strain K12) OX=83333 GN=dcuA PE=1 SV=1	dcuA	0.606535948	-0.721334942	1	0
P0A9P4	Thioredoxin reductase OS=Escherichia coli (strain K12) OX=83333 GN=trxB PE=1 SV=2	trxB	0.607189542	-0.719781151	1	0
P39304	3-keto-L-gulonate-6-phosphate decarboxylase UlaD OS=Escherichia coli (strain K12) OX=83333 GN=ulaD PE=1 SV=1	ulaD	0.607189542	-0.719781151	1	0
P0AC30	Cell division protein FtsX OS=Escherichia coli (strain K12) OX=83333 GN=ftsX PE=1 SV=1	ftsX	0.607843137	-0.718229032	1	0
P52060	UPF0235 protein YggU OS=Escherichia coli (strain K12) OX=83333 GN=yggU PE=3 SV=2	yggU	0.607843137	-0.718229032		#VALEUR!
P0AA53	Protein QmcA OS=Escherichia coli (strain K12) OX=83333 GN=qmcA PE=1 SV=1	qmcA	0.607843137	-0.718229032	1	0
P09551	Lysine/arginine/ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=argT PE=1 SV=3	argT	0.608496732	-0.71667858	1	0
P37047	Carbohydrate diacid regulator OS=Escherichia coli (strain K12) OX=83333 GN=cdaR PE=1 SV=2	cdaR	0.608496732	-0.71667858	1	0
P08394	RecBCD enzyme subunit RecB OS=Escherichia coli (strain K12) OX=83333 GN=recB PE=1 SV=1	recB	0.609150327	-0.715129793		#VALEUR!
P37624	Ribosome-associated ATPase OS=Escherichia coli (strain K12) OX=83333 GN=rbbA PE=1 SV=3	rbbA	0.609803922	-0.713582667	1	0
P11553	L-fuculokinase OS=Escherichia coli (strain K12) OX=83333 GN=fucK PE=1 SV=4	fucK	0.609803922	-0.713582667		#VALEUR!
P77791	Maltose O-acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=maa PE=1 SV=3	maa	0.610457516	-0.712037198	1	0
P24554	DNA repair protein RadA OS=Escherichia coli (strain K12) OX=83333 GN=radA PE=1 SV=1	radA	0.611111111	-0.710493383	1	0
P0AFA2	Nitrate/nitrite sensor protein NarX OS=Escherichia coli (strain K12) OX=83333 GN=narX PE=1 SV=1	narX	0.611111111	-0.710493383	1	0
P24251	Sigma factor-binding protein Crl OS=Escherichia coli (strain K12) OX=83333 GN=crl PE=1 SV=5		0.611764706	-0.708951218	1	0
P0ABQ0	Coenzyme A biosynthesis bifunctional protein CoaBC OS=Escherichia coli (strain K12) OX=83333 GN=coaBC PE=1 SV=2	dfp	0.611764706	-0.708951218	1	0
P64540	Uncharacterized protein YfcL OS=Escherichia coli (strain K12) OX=83333 GN=yfcL PE=4 SV=1	yfcL	0.612418301	-0.7074107		#VALEUR!
P75685	Inner membrane protein RclC OS=Escherichia coli (strain K12) OX=83333 GN=rclC PE=1 SV=2	"ykgB; rclC"	0.613071895	-0.705871825		#VALEUR!
P30749	Molybdopterin synthase catalytic subunit OS=Escherichia coli (strain K12) OX=83333 GN=moaE PE=1 SV=3	moaE	0.614379085	-0.702798991	1	0
P33362	Glycine betaine-binding protein YehZ OS=Escherichia coli (strain K12) OX=83333 GN=yehZ PE=1 SV=1	osmF	0.61503268	-0.701265025		#VALEUR!
P0AFJ7	Low-affinity inorganic phosphate transporter 1 OS=Escherichia coli (strain K12) OX=83333 GN=pitA PE=1 SV=1	pitA	0.61503268	-0.701265025		#VALEUR!
P0AGH1	Inner membrane transport permease YhhJ OS=Escherichia coli (strain K12) OX=83333 GN=yhhJ PE=1 SV=3	yhhJ	0.61503268	-0.701265025	1	0
P16384	tRNA dimethylallyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=miaA PE=1 SV=2	miaA	0.615686275	-0.699732688	1	0
P0A9F6	Glycine cleavage system transcriptional activator OS=Escherichia coli (strain K12) OX=83333 GN=gcvA PE=1 SV=1	gcvA	0.616993464	-0.696672888	1	0
P0A9B6	D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=epd PE=1 SV=2	epd	0.617647059	-0.695145418	1	0
P0AEJ4	Osmolarity sensor protein EnvZ OS=Escherichia coli (strain K12) OX=83333 GN=envZ PE=1 SV=1	envZ	0.617647059	-0.695145418	1	0
P75954	Probable L.D-transpeptidase YcfS OS=Escherichia coli (strain K12) OX=83333 GN=ycfS PE=1 SV=1	"ycfS; ldtC"	0.617647059	-0.695145418	1	0
P0A6V1	Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=glgC PE=1 SV=2	glgC	0.617647059	-0.695145418	1	0
P33940	Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) OX=83333 GN=mqo PE=1 SV=2	mqo	0.618300654	-0.693619564	1	0
P0AFP4	Uncharacterized oxidoreductase YbbO OS=Escherichia coli (strain K12) OX=83333 GN=ybbO PE=3 SV=1	ybbO	0.618300654	-0.693619564	1	0
P0AEE5	D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=mglB PE=1 SV=1	mglB	0.618954248	-0.692095322	0.549111871	0.260339167
P75797	Glutathione-binding protein GsiB OS=Escherichia coli (strain K12) OX=83333 GN=gsiB PE=1 SV=1	gsiB	0.618954248	-0.692095322	1	0
P11454	Enterobactin synthase component F OS=Escherichia coli (strain K12) OX=83333 GN=entF PE=1 SV=3	entF	0.619607843	-0.690572689	1	0
P77552	Uncharacterized protein YdhQ OS=Escherichia coli (strain K12) OX=83333 GN=ydhQ PE=4 SV=1	ydhQ	0.620915033	-0.687532234	1	0
P12995	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=bioA PE=1 SV=2	bioA	0.620915033	-0.687532234	1	0
P0A7E9	Uridylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pyrH PE=1 SV=2	pyrH	0.621568627	-0.686014407	1	0
P0A8X2	Protein YceI OS=Escherichia coli (strain K12) OX=83333 GN=yceI PE=1 SV=1	yceI	0.621568627	-0.686014407	1	0
P09348	Motility protein A OS=Escherichia coli (strain K12) OX=83333 GN=motA PE=1 SV=1	motA	0.621568627	-0.686014407	1	0
P00579	RNA polymerase sigma factor RpoD OS=Escherichia coli (strain K12) OX=83333 GN=rpoD PE=1 SV=2	rpoD	0.622222222	-0.684498174	1	0
P0AE82	Sensor histidine kinase CpxA OS=Escherichia coli (strain K12) OX=83333 GN=cpxA PE=1 SV=1	cpxA	0.622222222	-0.684498174	1	0
P76062	Prophage repressor RacR OS=Escherichia coli (strain K12) OX=83333 GN=racR PE=4 SV=1	racR	0.622222222	-0.684498174	1	0
P18956	Glutathione hydrolase proenzyme OS=Escherichia coli (strain K12) OX=83333 GN=ggt PE=1 SV=1	ggt	0.622222222	-0.684498174	1	0
P52129	mRNA endoribonuclease toxin LS OS=Escherichia coli (strain K12) OX=83333 GN=rnlA PE=1 SV=2	rnlA	0.622875817	-0.682983534	1	0
P67826	Copper homeostasis protein CutC OS=Escherichia coli (strain K12) OX=83333 GN=cutC PE=3 SV=1	cutC	0.622875817	-0.682983534	1	0
P23331	Thymidine kinase OS=Escherichia coli (strain K12) OX=83333 GN=tdk PE=3 SV=1	tdk	0.624183007	-0.679959015	1	0
P15082	Glucitol operon repressor OS=Escherichia coli (strain K12) OX=83333 GN=srlR PE=1 SV=1	srlR	0.624836601	-0.67844913	1	0
P36979	Dual-specificity RNA methyltransferase RlmN OS=Escherichia coli (strain K12) OX=83333 GN=rlmN PE=1 SV=1	rlmN	0.625490196	-0.676940823	1	0
P42616	Protein YqjC OS=Escherichia coli (strain K12) OX=83333 GN=yqjC PE=1 SV=3	yqjC	0.625490196	-0.676940823	1	0
P0A9F1	Transcriptional regulator MntR OS=Escherichia coli (strain K12) OX=83333 GN=mntR PE=1 SV=1	mntR	0.625490196	-0.676940823	1	0
P14175	Glycine betaine/proline betaine transport system ATP-binding protein ProV OS=Escherichia coli (strain K12) OX=83333 GN=proV PE=1 SV=1	proV	0.626143791	-0.675434092	1	0
P62623	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=ispH PE=1 SV=1	ispH	0.626143791	-0.675434092	1	0
P0AGE0	Single-stranded DNA-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=ssb PE=1 SV=2	ssb	0.626143791	-0.675434092	1	0
P76298	Flagellar biosynthesis protein FlhA OS=Escherichia coli (strain K12) OX=83333 GN=flhA PE=3 SV=1	flhA	0.626143791	-0.675434092		#VALEUR!
P0AD96	Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=livJ PE=1 SV=1	livJ	0.626143791	-0.675434092	1	0
P60906	Histidine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=hisS PE=1 SV=2	hisS	0.626797386	-0.673928933	1	0
P31663	Pantothenate synthetase OS=Escherichia coli (strain K12) OX=83333 GN=panC PE=1 SV=1	panC	0.626797386	-0.673928933	1	0
P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=thiB PE=1 SV=2	thiB	0.626797386	-0.673928933	1	0
P0A9U1	Probable multidrug ABC transporter ATP-binding protein YbhF OS=Escherichia coli (strain K12) OX=83333 GN=ybhF PE=1 SV=1	ybhF	0.626797386	-0.673928933	1	0
P45531	Protein TusC OS=Escherichia coli (strain K12) OX=83333 GN=tusC PE=1 SV=1	tusC	0.62745098	-0.672425342	1	0
P13024	Protein FdhE OS=Escherichia coli (strain K12) OX=83333 GN=fdhE PE=1 SV=2	fdhE	0.628104575	-0.670923317	1	0
P38051	Isochorismate synthase MenF OS=Escherichia coli (strain K12) OX=83333 GN=menF PE=1 SV=4	menF	0.628104575	-0.670923317	1	0
P0A9W0	HTH-type transcriptional regulator UlaR OS=Escherichia coli (strain K12) OX=83333 GN=ulaR PE=1 SV=1	ulaR	0.628104575	-0.670923317	1	0
P43341	UDP-2.3-diacylglucosamine hydrolase OS=Escherichia coli (strain K12) OX=83333 GN=lpxH PE=1 SV=2	lpxH	0.628104575	-0.670923317	1	0
P0ADQ7	Uncharacterized protein YgaM OS=Escherichia coli (strain K12) OX=83333 GN=ygaM PE=1 SV=2	ygaM	0.628104575	-0.670923317	1	0
P32173	Molybdenum cofactor guanylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=mobA PE=1 SV=1	mobA	0.62875817	-0.669422854		#VALEUR!
P51025	S-formylglutathione hydrolase FrmB OS=Escherichia coli (strain K12) OX=83333 GN=frmB PE=1 SV=2	frmB	0.629411765	-0.66792395	1	0
P27249	Bifunctional uridylyltransferase/uridylyl-removing enzyme OS=Escherichia coli (strain K12) OX=83333 GN=glnD PE=1 SV=2	glnD	0.630065359	-0.666426601	1	0
P39267	Uncharacterized protein YjcZ OS=Escherichia coli (strain K12) OX=83333 GN=yjcZ PE=4 SV=2	yjcZ	0.630065359	-0.666426601		#VALEUR!
P0A744	Peptide methionine sulfoxide reductase MsrA OS=Escherichia coli (strain K12) OX=83333 GN=msrA PE=1 SV=2	msrA	0.630718954	-0.664930805	1	0
